Nombre,Descripcion,Categoria,Etiquetas,Precio,URL FOTO
Leche Entera Alpina,Bolsa x 1.100 ml,Lacteo/Huevos y refrigerados,Leches ,3100,https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001041404.jpg
Leche Alpina Deslactosada,Bolsa x 1.100 ml,Lacteo/Huevos y refrigerados,Leches ,3400,https://cdn.derematazo.com/wp-content/uploads/2019/08/Leche-Alpina-Deslactosada-Bolsa-x-1100ml-23445.jpg
Leche Alpina Semi-Descremada,Bolsa x 1.100 ml,Lacteo/Huevos y refrigerados,Leches ,3500,https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001050130.jpg
Leche Alpina Deslactosada-Descremada,Bolsa x 1.100 ml,Lacteo/Huevos y refrigerados,Leches ,3500,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496784-1000-1000/7702001053841.jpg?v=637230819660630000
Leche Alpina Descremada,Bolsa x 1.100 ml,Lacteo/Huevos y refrigerados,Leches ,3500,https://supertiendascomunal.com/5457-large_default/leche-descremada-alpina-11-lt.jpg
Leche Alpina Entera,Paca x 6 und,Lacteo/Huevos y refrigerados,Leches ,16200,https://metrocolombiafood.vteximg.com.br/arquivos/ids/266047-750-750/7702001041411.jpg?v=637230837843670000
